,Message,Actual,Predictions
29,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",spam,spam
30,I cant wait for cornwall. Hope tonight isnt too bad as well but its rock night shite. Anyway im going for a kip now have a good night. Speak to you soon.,ham,ham
31,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.",ham,ham
32,You have 1 new message. Please call 08712400200.,spam,ham
33,74355 XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC,spam,spam
34,There is a first time for everything :),ham,ham
35,Aiya we discuss later lar... Pick ü up at 4 is it?,ham,ham
36,"Sorry, I'll call later",ham,ham
37,Annoying isn't it.,ham,ham
38,Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05,spam,spam
39,CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx,ham,ham
40,"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second",ham,ham
41,Well I might not come then...,ham,ham
42,Send his number and give reply tomorrow morning for why you said that to him like that ok,ham,ham
43,Ok...,ham,ham
44,"Im sorry bout last nite it wasnt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx",ham,ham
45,";-( oh well, c u later",ham,ham
46,Good words.... But words may leave u in dismay many times.,ham,ham
47,"Sorry, I'll call later",ham,ham
48,Okie,ham,ham
49,What year. And how many miles.,ham,ham
50,Don know:)this week i'm going to tirunelvai da.,ham,ham
51,Just sent it. So what type of food do you like?,ham,ham
52,I am not sure about night menu. . . I know only about noon menu,ham,ham
53,Just finished. Missing you plenty,ham,ham
54,if you text on your way to cup stop that should work. And that should be BUS,ham,ham
55,That seems unnecessarily affectionate,ham,ham
56,When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...,ham,ham
57,Which channel:-):-):):-).,ham,ham
58,Buy one egg for me da..please:),ham,ham
59,From tomorrow onwards eve 6 to 3 work.,ham,ham
60,I can make lasagna for you... vodka...,ham,ham
61,"Thank you. And by the way, I just lost.",ham,ham
62,Yar else i'll thk of all sorts of funny things.,ham,ham
63,I will vote for wherever my heart guides me,ham,ham
64,Please leave this topic..sorry for telling that..,ham,ham
65,Its like that hotel dusk game i think. You solve puzzles in a area thing,ham,ham
66,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham,ham
67,Oh ok no prob..,ham,ham
68,"Right on brah, see you later",ham,ham
69,Dare i ask... Any luck with sorting out the car?,ham,ham
70,"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",spam,spam
71,Are you still getting the goods.,ham,ham
72,"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester",ham,ham
73,"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? ",ham,ham
74,"Sorry im getting up now, feel really bad- totally rejected that kinda me thing.",ham,ham
75,Oh ic. I thought you meant mary jane.,ham,ham
76,K...k:)why cant you come here and search job:),ham,ham
77,Boo what time u get out? U were supposed to take me shopping today. :(,ham,ham
78,Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..,ham,ham
79,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,ham,ham
80,10 min later k...,ham,ham
81,What happen dear. Why you silent. I am tensed,ham,ham
82,I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!,ham,ham
83,"No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?",ham,ham
84,What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother,ham,ham
85,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,spam,spam
86,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,spam,spam
87,Do I? I thought I put it back in the box,ham,ham
88,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,ham,ham
89,Sir send to group mail check it.,ham,ham
90,I wish u were here. I feel so alone,ham,ham
91,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(£1.50p. m),spam,ham
92,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",spam,spam
93,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,spam,ham
94,Eat at old airport road... But now 630 oredi... Got a lot of pple...,ham,ham
95,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,ham,ham
96,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :),ham,ham
97,I hope you arnt pissed off but id would really like to see you tomorrow. Love me xxxxxxxxxxxxxX,ham,ham
98,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",spam,ham
99,"Just looked it up and addie goes back Monday, sucks to be her",ham,ham
100,"Haha, my friend tyler literally just asked if you could get him a dubsack",ham,ham
101,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,ham,ham
102,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO",spam,ham
103,Erutupalam thandiyachu,ham,ham
104,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,ham,ham
105,Unlimited texts. Limited minutes.,ham,ham
106,Hope you are having a great day.,ham,ham
107,Hey are you angry with me. Reply me dr.,ham,ham
108,Yes we are chatting too.,ham,ham
109,Meeting u is my work. . . Tel me when shall i do my work tomorrow,ham,ham
110,"Sorry, got a late start, we're on the way",ham,ham
111,Its sunny in california. The weather's just cool,ham,ham
112,"Yes, my reg is  Ciao!",ham,ham
113,Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx,ham,ham
114,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674,spam,spam
115,Actually getting ready to leave the house.,ham,ham
116,Lol! Oops sorry! Have fun. ,ham,ham
117,Cos darren say ü considering mah so i ask ü...,ham,ham
118,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?,ham,ham
119,"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs £1.50 each",spam,spam
120,Is avatar supposed to have subtoitles,ham,ham
121,We still on for tonight?,ham,ham
122,I want  &lt;#&gt;  rs da:)do you have it?,ham,ham
123,Hope you are having a good week. Just checking in,ham,ham
124,"Tick, tick, tick ... Babe",ham,ham
125,"Awesome question with a cute answer: Someone asked a boy ""how is ur life?"" . . He smiled &amp; answered: . . ""She is fine!"" Gudnite",ham,ham
126,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.,ham,ham
127,"K, can I pick up another 8th when you're done?",ham,ham
128,How much did ur hdd casing cost.,ham,ham
129,O i played smash bros  &lt;#&gt;  religiously.,ham,ham
130,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday,ham,ham
131,here is my new address -apples&pairs&all that malarky,ham,ham
132,Pls pls find out from aunt nike.,ham,ham
133,RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50,spam,spam
134,I can do that! I want to please you both inside and outside the bedroom...,ham,ham
135,Oh god. I'm gonna Google nearby cliffs now.,ham,ham
136,"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve..",ham,ham
137,Got it! It looks scrumptious... daddy wants to eat you all night long!,ham,ham
138,"Had the money issue weigh me down but thanks to you, I can breathe easier now. I.ll make sure you dont regret it. Thanks.",ham,ham
139,Die... Now i have e toot fringe again...,ham,ham
140,"Aight, sounds good. When do you want me to come down?",ham,ham
141,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,spam,spam
142,I think just yourself …Thanks and see you tomo,ham,ham
143,Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.,ham,ham
144,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?,ham,ham
145,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",ham,ham
146,"Yo, you gonna still be in stock tomorrow/today? I'm trying to get a dubsack",ham,ham
147,Mm have some kanji dont eat anything heavy ok,ham,ham
148,Nokia phone is lovly..,ham,ham
149,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..,ham,ham
150,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.,ham,ham
151,Mathews or tait or edwards or anderson,ham,ham
152,Adult 18 Content Your video will be with you shortly,spam,spam
153,Idea will soon get converted to live:),ham,ham
154,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor...",ham,ham
155,Just sleeping..and surfing,ham,ham
156,"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?",ham,ham
157,Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.,ham,ham
158,Thats cool! I am a gentleman and will treat you with dignity and respect.,ham,ham
159,No she didnt. I will search online and let you know.,ham,ham
160,S...i will take mokka players only:),ham,ham
161,Good morning pookie pie! Lol hope I didn't wake u up,ham,ham
162,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,spam,spam
163,Is xy in ur car when u picking me up?,ham,ham
164,I;m reaching in another 2 stops.,ham,ham
165,Hui xin is in da lib.,ham,ham
166,"Well, I was about to give up cos they all said no they didn‘t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?",ham,ham
167,I'll talk to the others and probably just come early tomorrow then,ham,ham
168,I will treasure every moment we spend together...,ham,ham
169,"Sorry battery died, yeah I'm here",ham,ham
170,Hey! do u fancy meetin me at 4 at cha  hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x,ham,ham
171,Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude,ham,ham
172,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm",ham,ham
173,Good night. Am going to sleep.,ham,ham
174,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,ham,ham
175,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!,ham,ham
176,I might go 2 sch. Yar at e salon now v boring.,ham,ham
177,Shall i send that exe to your mail id.,ham,ham
178,Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.,ham,ham
179,Sorry that was my uncle. I.ll keep in touch,ham,ham
180,Is that on the telly? No its Brdget Jones!,ham,ham
181,Play w computer? Aiyah i tok 2 u lor?,ham,ham
182,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?",ham,ham
183,Smith waste da.i wanna gayle.,ham,ham
184,S but not able to sleep.,ham,ham
185,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.,spam,spam
186,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,ham,ham
187,Only once then after ill obey all yours.,ham,ham
188,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ...",ham,ham
189,No da. . Vijay going to talk in jaya tv,ham,ham
190,"Machan you go to gym tomorrow,  i wil come late goodnight.",ham,ham
191,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,ham,ham
192,"K, wait chikku..il send aftr  &lt;#&gt; mins",ham,ham
193,U calling me right? Call my hand phone...,ham,ham
194,Change again... It's e one next to escalator...,ham,ham
195,Please tell me not all of my car keys are in your purse,ham,ham
196,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,spam,spam
197,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt; ,ham,ham
198,Ü come lt 25 n pass to me lar,ham,ham
199,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?,ham,ham
200,"Sorry, I'll call later",ham,ham
201,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",ham,ham
202,No..but heard abt tat..,ham,ham
203,"Oops, I'll let you know when my roommate's done",ham,ham
204,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,spam,ham
205,I borrow ur bag ok.,ham,ham
206,Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.,ham,ham
207,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,ham,ham
208,Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash,ham,ham
209,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX,ham,ham
210,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.,ham,ham
211,I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT:),ham,ham
212,Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?,ham,ham
213,Watching tv lor...,ham,ham
214,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*,ham,ham
215,I.ll give her once i have it. Plus she said grinule greet you whenever we speak,ham,ham
216,yes baby! I need to stretch open your pussy!,ham,ham
217,Ok...,ham,ham
218,K..k:)how about your training process?,ham,ham
219,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...",ham,ham
220,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.",ham,ham
221,"Goodmorning, today i am late for  &lt;DECIMAL&gt; min.",ham,ham
222,Shopping? Eh ger i toking abt syd leh...Haha,ham,ham
223,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-),ham,ham
224,Ok both our days. So what are you making for dinner tonite? Am I invited?,ham,ham
225,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,ham,ham
226,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ...",ham,ham
227,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,ham,ham
228,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,ham,ham
229,Still chance there. If you search hard you will get it..let have a try :),ham,ham
230,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,ham,ham
231,"I'm back &amp; we're packing the car now, I'll let you know if there's room",ham,ham
232,Dear i have reache room,ham,ham
233,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala",ham,ham
234,Convey my regards to him,ham,ham
235,Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks,ham,ham
236,Also where's the piece,ham,ham
237,"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad",ham,ham
238,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,spam,spam
239,Reply to win £100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service,spam,spam
240,There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,ham,ham
241,K..i deleted my contact that why?,ham,ham
242,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam,spam
243,"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier.",ham,ham
244,I'm stuck in da middle of da row on da right hand side of da lt... ,ham,ham
245,Okay. I've seen it. So i should pick it on friday?,ham,ham
246,"Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha.",ham,ham
247,"I'm in a meeting, call me later at",ham,ham
248,"And how you will do that, princess? :)",ham,ham
249,What time do u get out?,ham,ham
250,Hi dis is yijue i would be happy to work wif ü all for gek1510...,ham,ham
251,Me too baby! I promise to treat you well! I bet you will take good care of me...,ham,ham
252,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts,spam,ham
253,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),ham,ham
254,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,ham,ham
255,"Yeah sure, give me a couple minutes to track down my wallet",ham,ham
256,I think steyn surely get one wicket:),ham,ham
257,Sleeping nt feeling well,ham,ham
258,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!",ham,ham
259,Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx,ham,ham
260,Hi its in durban are you still on this number,ham,ham
261,This pain couldn't have come at a worse time.,ham,ham
262,My birthday is on feb  &lt;#&gt;  da. .,ham,ham
263,Cant think of anyone with * spare room off * top of my head,ham,ham
264,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.,ham,ham
265,Does not operate after  &lt;#&gt;  or what,ham,ham
266,"Don't worry, * is easy once have ingredients!",ham,ham
267,"It,,s a taxt massage....tie-pos argh ok! Lool!",ham,ham
268,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",spam,spam
269,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,ham,ham
270,Thanx a lot...,ham,ham
271,U in town alone?,ham,ham
272,When're you guys getting back? G said you were thinking about not staying for mcr,ham,ham
273,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,ham,ham
274,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms,spam,ham
275,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-),ham,ham
276,Yup i'm still having coffee wif my frens... My fren drove she'll give me a lift...,ham,ham
277,Hurry home. Soup is DONE!,ham,ham
278,Gud ni8 dear..slp well..take care..swt dreams..Muah..,ham,ham
279,"Sorry, I can't help you on this.",ham,ham
280,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.,ham,ham
281,"There'll be a minor shindig at my place later tonight, you interested?",ham,ham
282,India have to take lead:),ham,ham
283,Then mum's repent how?,ham,ham
284,say thanks2. ,ham,ham
285,Don no da:)whats you plan?,ham,ham
286,Haha... dont be angry with yourself... Take it as a practice for the real thing. =) ,ham,ham
287,Well obviously not because all the people in my cool college life went home ;_;,ham,ham
288,Daddy will take good care of you :),ham,ham
289,"I'd say that's a good sign but, well, you know my track record at reading women",ham,ham
290,At home watching tv lor.,ham,ham
291,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.,ham,ham
292,"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly",ham,ham
293,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who ""smokes too much"" for the entire month of february, I'll come up",ham,ham
294,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e",ham,ham
295,"U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription",spam,spam
296,Howz pain?hope u r fine..,ham,ham
297,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",spam,spam
298,Ok i msg u b4 i leave my house.,ham,ham
299,Congratulations YOU'VE Won. You're a Winner in our August £1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.,spam,spam
300,Why didn't u call on your lunch?,ham,ham
301,I'm fine. Hope you are good. Do take care.,ham,ham
302,A guy who gets used but is too dumb to realize it.,ham,ham
303,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,ham,ham
304,If I get there before you after your ten billion calls and texts so help me god,ham,ham
305,Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..,ham,ham
306,K...k...yesterday i was in cbe .,ham,ham
307,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX",spam,ham
308,Long after I quit. I get on only like 5 minutes a day as it is.,ham,ham
309,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,spam,spam
310,Its good to hear from you,ham,ham
311,Did u got that persons story,ham,ham
312,Ur HMV Quiz cash-balance is currently £500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,spam,spam
313,Hey company elama po mudyadhu.,ham,ham
314,Now got tv 2 watch meh? U no work today?,ham,ham
315,Oh...i asked for fun. Haha...take care. ü,ham,ham
316,Am surfing online store. For offers do you want to buy any thing.,ham,ham
317,"alright, I'll make sure the car is back tonight",ham,ham
318,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.,ham,ham
319,I'm not. She lip synced with shangela.,ham,ham
320,What's ur pin?,ham,ham
321,Babe ? I lost you ... Will you try rebooting ?,ham,ham
322,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu,ham,ham
323,"Sorry,  in meeting I'll call you later",ham,ham
324,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?",ham,ham
325,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,ham,ham
326,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(,ham,ham
327,Eh den sat u book e kb liao huh...,ham,ham
328,Pls send me your address sir.,ham,ham
329,Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.,ham,ham
330,"A cute thought for friendship: ""Its not necessary to share every secret with ur close Frnd, but watever u shared should be true""....",ham,ham
331,It certainly puts things into perspective when something like this happens,ham,ham
332,That depends. How would you like to be treated? :),ham,ham
333,After the drug she will be able to eat.,ham,ham
334,I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love,ham,ham
335,I havent add ü yet right.. ,ham,ham
336,Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + £200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com,spam,spam
337,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",ham,ham
338,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN,ham,ham
339,"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola.",ham,ham
340,"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*",ham,ham
341,May i call You later Pls,ham,ham
342,I know girls always safe and selfish know i got it pa. Thank you. good night.,ham,ham
343,Ay wana meet on sat?ü wkg on sat?,ham,ham
344,We have to pick rayan macleran there.,ham,ham
345,Don know..he is watching film in computer..,ham,ham
346,East coast,ham,ham
